Team,2013,2014,2015
2020,Colorado (Pac-12),4,
2020,Colorado St. (Mountain West),1,
2020,Duke (ACC),2,
2020,East Carolina (AAC),3,
2020,Eastern Mich. (MAC),2,
2020,FIU (C-USA),0,
2020,Fla. Atlantic (C-USA),5,
2020,Florida (SEC),8,
2020,Florida St. (ACC),3,
2020,Fresno St. (Mountain West),3,
2020,Ga. Southern (Sun Belt),8,
2020,Georgia (SEC),7,
2020,Georgia St. (Sun Belt),5,
2020,Georgia Tech (ACC),3,
2020,Hawaii (Mountain West),5,
2020,Houston (AAC),3,
2020,Illinois (Big Ten),2,
2020,Indiana (Big Ten),6,
2020,Iowa (Big Ten),6,
2020,Iowa St. (Big 12),8,
2020,Kansas (Big 12),0,
2020,Kansas St. (Big 12),4,
2020,Kent St. (MAC),3,
2020,Kentucky (SEC),4,
2020,Liberty (FBS Independent),9,
2020,Louisiana (Sun Belt),9,
2020,Louisiana Tech (C-USA),5,
2020,Louisville (ACC),4,
2020,LSU (SEC),5,
2020,Marshall (C-USA),7,
2020,Maryland (Big Ten),2,
2020,Massachusetts (FBS Independent),0,
2020,Memphis (AAC),8,
2020,Miami (FL) (ACC),8,
2020,Miami (OH) (MAC),2,
2020,Michigan (Big Ten),2,
2020,Michigan St. (Big Ten),2,
2020,Middle Tenn. (C-USA),3,
2020,Minnesota (Big Ten),3,
2020,Mississippi St. (SEC),3,
2020,Missouri (SEC),5,
2020,Navy (AAC),3,
2020,NC State (ACC),8,
2020,Nebraska (Big Ten),3,
2020,Nevada (Mountain West),7,
2020,New Mexico (Mountain West),2,
2020,North Carolina (ACC),8,
2020,North Texas (C-USA),4,
2020,Northern Ill. (MAC),0,
2020,Northwestern (Big Ten),6,
2020,Notre Dame (ACC),10,
2020,Ohio (MAC),2,
2020,Ohio St. (Big Ten),6,
2020,Oklahoma (Big 12),8,
2020,Oklahoma St. (Big 12),7,
2020,Ole Miss (SEC),4,
2020,Oregon (Pac-12),4,
2020,Oregon St. (Pac-12),2,
2020,Penn St. (Big Ten),4,
2020,Pittsburgh (ACC),6,
2020,Purdue (Big Ten),2,
2020,Rice (C-USA),2,
2020,Rutgers (Big Ten),3,
2020,San Diego St. (Mountain West),4,
2020,San Jose St. (Mountain West),7,
2020,SMU (AAC),7,
2020,South Alabama (Sun Belt),4,
2020,South Carolina (SEC),2,
2020,South Fla. (AAC),1,
2020,Southern California (Pac-12),5,
2020,Southern Miss. (C-USA),3,
2020,Stanford (Pac-12),4,
2020,Syracuse (ACC),1,
2020,TCU (Big 12),6,
